key,press_time,release_time,dwell_time,flight_time
s,0.0,126.93,126.93,0.0
e,271.85,417.77,145.92,144.92
c,649.65,753.45,103.81,231.88
u,949.18,1065.0,115.82,195.72
r,1176.23,1416.08,239.85,111.23
e,1536.17,1735.12,198.95,120.09
p,1847.32,2058.36,211.04,112.2
a,2191.91,2265.72,73.81,133.55
s,2416.92,2518.88,101.96,151.19
s,2668.51,2784.83,116.33,149.63
w,2980.09,3084.75,104.66,195.26
o,3212.83,3330.21,117.38,128.08
r,3415.31,3617.31,202.0,85.09
d,3806.57,3944.46,137.89,189.27
1,4077.19,4239.36,162.16,132.73
2,4467.05,4627.75,160.69,227.7
3,4734.33,4933.27,198.94,106.58
