key,press_time,release_time,dwell_time,flight_time
s,0.0,84.04,84.04,0.0
e,177.0,282.51,105.51,92.95
c,366.32,431.52,65.21,83.81
u,528.78,622.44,93.66,97.26
r,722.78,771.63,48.85,100.34
e,854.71,962.14,107.43,83.08
p,1054.3,1149.45,95.15,92.16
a,1238.64,1329.78,91.15,89.19
s,1433.27,1495.2,61.93,103.49
s,1566.88,1639.53,72.65,71.67
w,1727.76,1818.0,90.24,88.23
o,1880.61,1939.69,59.08,62.6
r,2025.82,2110.15,84.33,86.13
d,2210.57,2284.13,73.56,100.42
1,2339.72,2428.93,89.21,55.59
2,2472.59,2607.38,134.79,43.67
3,2667.1,2781.29,114.19,59.72
