key,press_time,release_time,dwell_time,flight_time
s,0.0,126.15,126.15,0.0
e,288.28,357.62,69.33,162.13
c,501.73,606.69,104.95,144.11
u,680.82,804.51,123.69,74.13
r,965.37,1092.72,127.35,160.86
e,1232.88,1330.18,97.3,140.16
p,1477.54,1578.44,100.9,147.36
a,1728.34,1827.15,98.81,149.9
s,1965.65,2035.22,69.57,138.5
s,2186.83,2292.96,106.12,151.61
w,2365.92,2413.23,47.31,72.97
o,2548.01,2652.34,104.32,134.78
r,2738.24,2872.59,134.35,85.9
d,2996.89,3058.63,61.74,124.3
1,3186.69,3269.73,83.04,128.06
2,3424.12,3558.53,134.41,154.39
3,3680.35,3787.62,107.27,121.82
