key,press_time,release_time,dwell_time,flight_time
s,0.0,56.57,56.57,0.0
e,215.7,338.7,123.0,159.13
c,507.59,602.24,94.65,168.89
u,714.14,827.06,112.92,111.9
r,934.89,1033.3,98.4,107.83
e,1155.25,1256.15,100.9,121.96
p,1407.59,1505.16,97.57,151.44
a,1675.83,1759.68,83.85,170.66
s,1824.19,1920.43,96.24,64.51
s,1983.13,2090.51,107.39,62.7
w,2242.01,2340.2,98.19,151.49
o,2490.19,2586.93,96.74,149.99
r,2706.29,2818.46,112.17,119.36
d,2946.81,3053.5,106.69,128.35
1,3214.49,3341.88,127.39,160.99
2,3501.73,3641.85,140.12,159.85
3,3817.21,3948.4,131.19,175.36
