key,press_time,release_time,dwell_time,flight_time
s,0.0,113.37,113.37,0.0
e,195.05,340.59,145.54,81.68
c,517.93,627.14,109.21,177.34
u,747.51,843.43,95.92,120.37
r,971.0,1141.24,170.25,127.57
e,1251.36,1343.62,92.26,110.12
p,1470.37,1618.01,147.63,126.76
a,1788.86,1912.74,123.88,170.85
s,2127.79,2238.95,111.15,215.06
s,2386.69,2514.46,127.77,147.75
w,2673.49,2773.92,100.42,159.03
o,2891.98,3010.85,118.87,118.07
r,3160.43,3282.14,121.71,149.58
d,3358.3,3491.83,133.53,76.16
1,3574.58,3707.53,132.95,82.75
2,3834.95,3976.89,141.94,127.42
3,4122.77,4262.15,139.38,145.88
