key,press_time,release_time,dwell_time,flight_time
s,0.0,93.22,93.22,0.0
e,197.59,320.95,123.36,104.37
c,471.31,588.15,116.84,150.36
u,687.82,791.53,103.71,99.67
r,877.99,1009.04,131.05,86.46
e,1136.43,1277.62,141.19,127.39
p,1383.71,1521.92,138.21,106.09
a,1690.27,1811.41,121.14,168.35
s,1930.08,2023.39,93.31,118.67
s,2232.42,2334.62,102.2,209.03
w,2418.01,2531.28,113.26,83.39
o,2663.19,2774.67,111.48,131.92
r,2907.45,3054.82,147.37,132.78
d,3187.66,3256.88,69.22,132.84
1,3402.49,3516.43,113.94,145.62
2,3641.21,3784.93,143.73,124.77
3,3876.18,4036.46,160.27,91.25
