key,press_time,release_time,dwell_time,flight_time
s,0.0,116.1,116.1,0.0
e,252.73,392.74,140.01,136.63
c,564.47,671.91,107.44,171.74
u,843.19,993.47,150.29,171.28
r,1142.68,1254.4,111.71,149.21
e,1398.03,1553.04,155.02,143.63
p,1700.16,1876.21,176.06,147.11
a,1979.19,2100.45,121.26,102.97
s,2239.81,2347.1,107.28,139.37
s,2446.14,2554.47,108.33,99.04
w,2700.9,2809.6,108.69,146.43
o,3008.57,3113.48,104.9,198.98
r,3288.81,3414.25,125.44,175.34
d,3604.86,3695.07,90.21,190.6
1,3863.71,4036.49,172.78,168.64
2,4152.5,4323.45,170.95,116.0
3,4460.66,4593.19,132.52,137.22
