key,press_time,release_time,dwell_time,flight_time
s,0.0,87.56,87.56,0.0
e,211.53,324.42,112.89,123.97
c,467.75,592.55,124.8,143.32
u,712.61,835.48,122.87,120.06
r,954.48,1061.95,107.47,119.0
e,1181.2,1308.33,127.13,119.25
p,1431.01,1599.59,168.58,122.69
a,1721.77,1842.35,120.58,122.18
s,2007.73,2145.71,137.98,165.38
s,2344.18,2466.59,122.41,198.47
w,2602.25,2771.19,168.93,135.66
o,2929.07,3046.37,117.31,157.88
r,3178.5,3282.64,104.13,132.13
d,3440.79,3577.12,136.32,158.16
1,3709.74,3838.78,129.04,132.62
2,3981.28,4101.52,120.24,142.5
3,4283.19,4377.13,93.95,181.67
