key,press_time,release_time,dwell_time,flight_time
s,0.0,72.02,72.02,0.0
e,162.12,247.11,84.99,90.1
c,376.19,443.14,66.94,129.09
u,568.89,626.37,57.48,125.76
r,748.59,813.95,65.36,122.22
e,911.24,996.81,85.57,97.29
p,1106.89,1202.05,95.16,110.08
a,1304.83,1369.01,64.18,102.78
s,1525.79,1591.21,65.42,156.78
s,1665.85,1753.49,87.64,74.64
w,1841.16,1904.91,63.76,87.66
o,2017.77,2115.18,97.41,112.86
r,2251.0,2338.42,87.42,135.82
d,2432.61,2515.07,82.46,94.19
1,2593.6,2697.57,103.96,78.54
2,2797.36,2879.05,81.69,99.8
3,2970.3,3043.26,72.95,91.25
