key,press_time,release_time,dwell_time,flight_time
s,0.0,128.88,128.88,0.0
e,311.32,519.71,208.39,182.44
c,644.77,811.95,167.19,125.06
u,881.11,1025.12,144.01,69.16
r,1178.68,1438.59,259.9,153.56
e,1683.04,1892.85,209.81,244.45
p,2053.22,2340.11,286.89,160.37
a,2531.62,2656.79,125.17,191.51
s,2812.79,3032.99,220.2,156.0
s,3183.55,3325.63,142.08,150.57
w,3485.78,3667.11,181.34,160.15
o,3808.68,4039.19,230.5,141.57
r,4326.38,4578.75,252.38,287.19
d,4754.36,4985.01,230.65,175.6
1,5089.89,5360.46,270.57,104.88
2,5521.17,5819.09,297.92,160.71
3,6024.65,6165.64,140.99,205.56
