key,press_time,release_time,dwell_time,flight_time
s,0.0,121.97,121.97,0.0
e,238.72,300.78,62.07,116.75
c,370.58,478.02,107.44,69.8
u,600.98,679.59,78.61,122.96
r,764.94,839.01,74.07,85.35
e,977.84,1055.16,77.32,138.83
p,1144.42,1237.44,93.02,89.26
a,1344.41,1429.56,85.15,106.97
s,1556.85,1620.76,63.91,127.3
s,1733.89,1811.18,77.28,113.13
w,1902.67,1988.72,86.05,91.49
o,2099.94,2189.81,89.88,111.22
r,2268.17,2338.57,70.4,78.36
d,2417.13,2500.4,83.27,78.56
1,2619.2,2708.05,88.85,118.8
2,2793.14,2919.24,126.09,85.09
3,3057.63,3160.76,103.13,138.39
