key,press_time,release_time,dwell_time,flight_time
s,0.0,142.64,142.64,0.0
e,341.69,475.09,133.4,199.05
c,682.29,876.76,194.47,207.2
u,1174.99,1333.09,158.1,298.23
r,1490.67,1701.8,211.13,157.58
e,1901.21,2099.3,198.09,199.41
p,2231.07,2414.03,182.96,131.76
a,2486.33,2627.79,141.45,72.31
s,2799.42,2927.46,128.04,171.63
s,3119.36,3241.53,122.18,191.89
w,3364.15,3513.87,149.72,122.62
o,3607.2,3751.66,144.47,93.33
r,4000.01,4207.26,207.25,248.35
d,4337.74,4515.64,177.9,130.47
1,4682.69,4817.0,134.31,167.06
2,5002.15,5203.81,201.66,185.15
3,5457.29,5601.03,143.74,253.49
