key,press_time,release_time,dwell_time,flight_time
s,0.0,40.0,40.0,0.0
e,86.81,168.16,81.35,46.81
c,263.92,340.31,76.4,95.76
u,438.86,495.6,56.75,98.54
r,584.33,661.2,76.87,88.73
e,743.01,808.93,65.92,81.81
p,881.37,953.25,71.88,72.44
a,1024.58,1088.12,63.53,71.33
s,1151.62,1217.38,65.75,63.51
s,1274.1,1341.44,67.33,56.72
w,1449.47,1521.12,71.64,108.04
o,1579.22,1640.28,61.05,58.11
r,1719.6,1777.1,57.5,79.33
d,1872.26,1936.03,63.78,95.16
1,2032.11,2108.07,75.95,96.08
2,2193.96,2268.06,74.1,85.89
3,2354.16,2430.49,76.33,86.1
