key,press_time,release_time,dwell_time,flight_time
s,0.0,75.2,75.2,0.0
e,178.31,291.0,112.69,103.11
c,409.89,502.26,92.37,118.89
u,603.03,702.88,99.85,100.77
r,787.79,926.66,138.87,84.91
e,979.34,1074.65,95.32,52.67
p,1116.7,1208.26,91.56,42.04
a,1316.12,1397.49,81.38,107.86
s,1466.46,1542.54,76.09,68.97
s,1616.43,1718.55,102.12,73.89
w,1823.59,1936.05,112.46,105.04
o,2001.37,2083.41,82.05,65.31
r,2173.74,2273.95,100.21,90.32
d,2363.92,2461.59,97.67,89.97
1,2553.54,2658.54,105.0,91.95
2,2731.26,2826.8,95.55,72.72
3,2909.0,3010.25,101.24,82.2
