key,press_time,release_time,dwell_time,flight_time
s,0.0,127.3,127.3,0.0
e,299.26,401.44,102.18,171.96
c,552.4,624.11,71.71,150.96
u,741.72,852.14,110.42,117.61
r,965.9,1083.69,117.79,113.76
e,1186.8,1316.6,129.8,103.11
p,1453.65,1589.24,135.59,137.05
a,1663.0,1746.57,83.57,73.76
s,1878.72,1930.12,51.4,132.14
s,2000.04,2112.54,112.5,69.92
w,2228.25,2347.84,119.6,115.7
o,2448.31,2577.35,129.04,100.47
r,2686.16,2811.54,125.38,108.8
d,2969.34,3089.73,120.38,157.81
1,3241.31,3327.06,85.75,151.59
2,3468.03,3636.55,168.52,140.97
3,3725.9,3839.31,113.41,89.34
