key,press_time,release_time,dwell_time,flight_time
s,0.0,79.68,79.68,0.0
e,177.13,293.02,115.89,97.45
c,384.16,480.77,96.61,91.15
u,617.51,729.74,112.23,136.73
r,872.57,969.7,97.13,142.84
e,1055.95,1193.81,137.86,86.25
p,1294.61,1405.76,111.14,100.8
a,1471.53,1589.29,117.77,65.77
s,1740.59,1810.07,69.48,151.3
s,1931.78,2012.38,80.6,121.71
w,2119.67,2211.56,91.9,107.29
o,2281.25,2419.51,138.26,69.69
r,2595.81,2713.41,117.6,176.3
d,2816.13,2951.02,134.89,102.72
1,3102.69,3269.16,166.47,151.67
2,3405.3,3517.68,112.38,136.15
3,3629.81,3791.69,161.88,112.13
