key,press_time,release_time,dwell_time,flight_time
s,0.0,62.31,62.31,0.0
e,178.03,271.95,93.91,115.72
c,372.17,433.57,61.4,100.23
u,518.67,610.0,91.33,85.1
r,783.29,854.56,71.27,173.29
e,941.35,1019.74,78.39,86.79
p,1115.88,1200.92,85.05,96.14
a,1312.52,1380.44,67.92,111.6
s,1453.76,1538.61,84.85,73.33
s,1644.77,1751.38,106.61,106.16
w,1816.66,1879.34,62.69,65.27
o,2009.86,2130.8,120.94,130.52
r,2252.02,2297.72,45.7,121.22
d,2411.86,2469.1,57.24,114.14
1,2555.11,2664.38,109.27,86.01
2,2759.87,2836.49,76.63,95.49
3,2926.07,3022.15,96.08,89.57
