key,press_time,release_time,dwell_time,flight_time
s,0.0,84.56,84.56,0.0
e,242.87,368.36,125.5,158.3
c,435.88,552.55,116.67,67.52
u,662.13,790.17,128.04,109.58
r,967.91,1063.72,95.8,177.74
e,1207.42,1319.64,112.22,143.7
p,1488.96,1622.89,133.93,169.31
a,1747.29,1887.59,140.3,124.4
s,1959.83,2064.14,104.3,72.24
s,2132.98,2236.38,103.4,68.85
w,2385.99,2517.02,131.04,149.61
o,2659.52,2799.79,140.27,142.49
r,2960.1,3098.38,138.28,160.31
d,3181.51,3294.81,113.3,83.13
1,3419.77,3549.33,129.56,124.96
2,3642.71,3783.95,141.24,93.38
3,3905.99,4117.18,211.19,122.04
