key,press_time,release_time,dwell_time,flight_time
s,0.0,70.12,70.12,0.0
e,174.7,236.15,61.45,104.58
c,336.73,444.36,107.63,100.58
u,550.8,590.8,40.0,106.44
r,711.79,779.45,67.65,120.99
e,874.16,956.38,82.22,94.71
p,1016.44,1124.35,107.91,60.06
a,1213.7,1292.95,79.25,89.35
s,1400.88,1474.59,73.7,107.93
s,1551.89,1597.64,45.75,77.3
w,1703.23,1799.87,96.64,105.59
o,1935.91,1990.19,54.28,136.04
r,2058.54,2192.91,134.37,68.36
d,2276.26,2328.08,51.82,83.34
1,2404.19,2501.14,96.95,76.12
2,2591.65,2693.33,101.68,90.51
3,2761.87,2849.53,87.66,68.54
