key,press_time,release_time,dwell_time,flight_time
s,0.0,171.86,171.86,0.0
e,297.25,472.01,174.76,125.39
c,663.67,739.83,76.16,191.67
u,989.58,1137.65,148.07,249.75
r,1279.7,1459.84,180.14,142.05
e,1611.32,1779.22,167.9,151.48
p,1925.57,2090.99,165.42,146.35
a,2230.4,2347.93,117.53,139.41
s,2497.01,2657.17,160.16,149.08
s,2832.96,2966.39,133.43,175.79
w,3117.48,3264.54,147.06,151.09
o,3488.69,3622.8,134.11,224.15
r,3846.11,4071.77,225.66,223.3
d,4272.14,4455.55,183.41,200.37
1,4614.65,4838.57,223.92,159.09
2,4980.87,5188.16,207.3,142.3
3,5330.65,5505.81,175.16,142.48
