key,press_time,release_time,dwell_time,flight_time
s,0.0,46.03,46.03,0.0
e,133.94,204.61,70.67,87.91
c,281.94,355.56,73.62,77.33
u,435.63,485.37,49.74,80.07
r,538.59,615.11,76.52,53.22
e,683.41,731.21,47.8,68.29
p,817.9,898.1,80.2,86.69
a,977.99,1044.6,66.62,79.89
s,1120.82,1167.24,46.42,76.22
s,1244.89,1293.87,48.97,77.65
w,1376.6,1445.4,68.8,82.73
o,1508.21,1564.64,56.43,62.81
r,1636.87,1688.76,51.89,72.23
d,1753.83,1795.84,42.0,65.07
1,1893.15,1962.26,69.11,97.32
2,2032.54,2114.25,81.71,70.28
3,2185.83,2241.72,55.89,71.58
