key,press_time,release_time,dwell_time,flight_time
s,0.0,73.35,73.35,0.0
e,190.33,319.16,128.84,116.98
c,407.24,488.12,80.88,88.07
u,577.66,664.45,86.79,89.55
r,757.71,842.21,84.5,93.26
e,951.73,1004.17,52.44,109.52
p,1120.49,1195.62,75.13,116.32
a,1316.03,1417.84,101.81,120.41
s,1472.78,1571.13,98.35,54.94
s,1641.45,1728.5,87.05,70.32
w,1822.9,1906.96,84.06,94.4
o,1976.09,2069.38,93.29,69.13
r,2176.85,2216.85,40.0,107.47
d,2329.03,2392.91,63.88,112.17
1,2483.52,2597.8,114.29,90.61
2,2688.71,2816.81,128.1,90.9
3,2907.05,2994.06,87.0,90.24
