key,press_time,release_time,dwell_time,flight_time
s,0.0,142.29,142.29,0.0
e,283.5,435.76,152.26,141.21
c,593.8,751.14,157.34,158.04
u,921.87,1012.99,91.11,170.73
r,1197.16,1348.01,150.85,184.18
e,1475.91,1582.12,106.21,127.9
p,1672.34,1807.43,135.09,90.22
a,1914.9,2064.39,149.49,107.47
s,2247.96,2370.73,122.78,183.57
s,2526.76,2661.72,134.97,156.02
w,2824.74,2928.95,104.21,163.01
o,3042.41,3193.02,150.61,113.46
r,3339.48,3475.97,136.49,146.46
d,3617.25,3724.91,107.66,141.27
1,3895.01,4083.49,188.48,170.1
2,4217.84,4369.15,151.31,134.35
3,4488.19,4645.88,157.69,119.04
