key,press_time,release_time,dwell_time,flight_time
s,0.0,62.61,62.61,0.0
e,234.78,369.24,134.46,172.17
c,502.31,656.49,154.18,133.07
u,790.99,900.53,109.54,134.5
r,1090.11,1185.11,95.01,189.58
e,1305.27,1413.11,107.84,120.15
p,1562.65,1691.09,128.44,149.54
a,1850.4,1944.2,93.81,159.31
s,2049.18,2189.83,140.65,104.97
s,2343.32,2416.16,72.84,153.49
w,2598.5,2687.36,88.86,182.34
o,2796.18,2908.93,112.76,108.82
r,3080.51,3189.1,108.59,171.57
d,3338.34,3441.93,103.59,149.24
1,3598.04,3769.26,171.23,156.1
2,3896.92,4053.77,156.85,127.65
3,4174.64,4367.26,192.62,120.87
