key,press_time,release_time,dwell_time,flight_time
s,0.0,134.67,134.67,0.0
e,265.53,340.15,74.62,130.86
c,470.98,592.7,121.71,130.83
u,696.07,864.8,168.73,103.38
r,989.38,1090.9,101.52,124.58
e,1185.97,1302.46,116.49,95.06
p,1441.45,1628.23,186.78,138.99
a,1767.87,1882.16,114.29,139.64
s,2045.95,2133.6,87.65,163.79
s,2252.81,2385.21,132.39,119.22
w,2576.95,2726.44,149.49,191.74
o,2900.92,3044.08,143.15,174.48
r,3188.4,3306.24,117.84,144.32
d,3439.76,3589.72,149.95,133.53
1,3723.76,3859.03,135.27,134.04
2,3928.76,4022.64,93.88,69.72
3,4157.41,4320.04,162.63,134.77
