key,press_time,release_time,dwell_time,flight_time
s,0.0,131.39,131.39,0.0
e,239.02,386.77,147.75,107.63
c,544.0,670.37,126.37,157.23
u,798.95,912.9,113.95,128.59
r,1028.19,1171.56,143.37,115.28
e,1264.17,1404.08,139.92,92.6
p,1570.07,1743.99,173.92,165.98
a,1893.62,2036.87,143.25,149.63
s,2137.28,2272.47,135.19,100.41
s,2423.97,2544.3,120.34,151.5
w,2754.75,2879.78,125.04,210.44
o,2986.47,3120.94,134.47,106.69
r,3208.1,3334.47,126.37,87.16
d,3431.47,3544.68,113.21,97.0
1,3665.99,3783.42,117.43,121.31
2,3935.55,4072.37,136.82,152.13
3,4200.75,4356.36,155.61,128.37
