key,press_time,release_time,dwell_time,flight_time
s,0.0,96.02,96.02,0.0
e,200.98,351.38,150.4,104.96
c,456.18,598.66,142.48,104.8
u,725.47,829.51,104.05,126.8
r,949.27,1097.11,147.85,119.75
e,1264.51,1383.66,119.15,167.4
p,1581.05,1713.23,132.18,197.38
a,1820.51,1924.77,104.26,107.28
s,2106.64,2246.84,140.19,181.87
s,2422.06,2562.59,140.52,175.23
w,2671.53,2826.31,154.78,108.94
o,2897.4,2963.28,65.88,71.09
r,3129.89,3254.18,124.29,166.61
d,3354.45,3500.86,146.41,100.27
1,3663.3,3794.96,131.66,162.44
2,3900.47,4070.92,170.45,105.51
3,4187.31,4314.82,127.51,116.39
