key,press_time,release_time,dwell_time,flight_time
s,0.0,51.82,51.82,0.0
e,197.35,333.59,136.24,145.53
c,513.01,675.29,162.28,179.42
u,749.13,843.07,93.94,73.84
r,999.69,1120.79,121.09,156.62
e,1236.7,1381.95,145.25,115.91
p,1513.71,1649.31,135.61,131.76
a,1788.82,1916.41,127.59,139.51
s,2073.61,2192.43,118.82,157.2
s,2324.19,2458.41,134.23,131.76
w,2590.72,2699.44,108.72,132.31
o,2850.41,3011.69,161.28,150.96
r,3154.61,3321.4,166.79,142.92
d,3425.56,3526.83,101.27,104.16
1,3604.61,3758.95,154.34,77.77
2,3894.35,4029.08,134.73,135.4
3,4136.11,4312.86,176.75,107.04
