key,press_time,release_time,dwell_time,flight_time
s,0.0,40.0,40.0,0.0
e,118.61,213.06,94.45,78.61
c,281.34,343.37,62.03,68.27
u,460.58,550.0,89.41,117.21
r,642.23,734.89,92.66,92.23
e,862.58,939.63,77.04,127.7
p,1031.38,1124.75,93.38,91.75
a,1232.93,1340.83,107.89,108.18
s,1460.72,1537.72,77.0,119.89
s,1657.59,1719.14,61.56,119.87
w,1792.96,1889.08,96.12,73.81
o,2004.56,2096.55,91.99,115.48
r,2231.83,2306.23,74.39,135.28
d,2392.85,2469.21,76.35,86.63
1,2589.29,2681.3,92.02,120.08
2,2758.08,2859.48,101.4,76.78
3,2922.96,3006.95,83.99,63.48
