key,press_time,release_time,dwell_time,flight_time
s,0.0,55.83,55.83,0.0
e,140.18,254.16,113.98,84.35
c,378.74,508.17,129.43,124.59
u,623.35,759.15,135.8,115.18
r,863.52,982.84,119.31,104.37
e,1088.42,1151.65,63.24,105.58
p,1280.25,1376.08,95.83,128.6
a,1471.95,1567.51,95.57,95.87
s,1658.17,1715.57,57.4,90.66
s,1827.58,1903.51,75.93,112.01
w,2026.95,2153.22,126.28,123.44
o,2228.84,2338.94,110.1,75.62
r,2463.52,2581.9,118.38,124.58
d,2667.64,2788.66,121.02,85.74
1,2931.62,3057.11,125.49,142.96
2,3169.06,3301.81,132.75,111.94
3,3413.59,3581.32,167.73,111.78
