key,press_time,release_time,dwell_time,flight_time
s,0.0,145.04,145.04,0.0
e,349.7,405.73,56.03,204.67
c,495.12,662.37,167.24,89.39
u,819.61,1045.91,226.3,157.24
r,1140.28,1279.71,139.42,94.37
e,1487.88,1658.36,170.48,208.17
p,1816.6,2050.7,234.1,158.24
a,2194.43,2319.05,124.62,143.73
s,2447.29,2568.23,120.94,128.25
s,2780.31,2918.1,137.79,212.08
w,3045.04,3179.19,134.16,126.94
o,3336.87,3541.05,204.18,157.68
r,3688.87,3872.78,183.91,147.82
d,3989.74,4166.73,176.99,116.95
1,4362.05,4536.85,174.8,195.32
2,4689.36,4834.34,144.98,152.5
3,4981.24,5227.72,246.48,146.9
