key,press_time,release_time,dwell_time,flight_time
s,0.0,44.71,44.71,0.0
e,104.98,174.03,69.05,60.27
c,260.9,354.11,93.2,86.87
u,427.51,548.68,121.17,73.4
r,630.33,701.66,71.33,81.66
e,810.34,894.67,84.32,108.68
p,1003.72,1104.04,100.32,109.06
a,1197.69,1286.5,88.81,93.65
s,1374.99,1436.46,61.47,88.49
s,1487.41,1564.99,77.58,50.95
w,1662.76,1791.54,128.78,97.77
o,1843.76,1937.08,93.32,52.22
r,1987.51,2074.47,86.96,50.43
d,2133.55,2213.91,80.36,59.08
1,2314.37,2467.5,153.13,100.46
2,2553.75,2621.12,67.37,86.25
3,2700.62,2808.48,107.86,79.5
