key,press_time,release_time,dwell_time,flight_time
s,0.0,80.32,80.32,0.0
e,165.38,263.26,97.88,85.06
c,362.09,438.39,76.31,98.82
u,546.64,600.92,54.28,108.25
r,651.6,734.62,83.02,50.67
e,824.05,905.75,81.71,89.43
p,972.42,1032.86,60.44,66.67
a,1144.77,1228.02,83.25,111.91
s,1306.0,1393.5,87.5,77.98
s,1487.73,1559.23,71.5,94.23
w,1652.78,1742.02,89.24,93.55
o,1864.76,1961.93,97.17,122.74
r,2051.13,2116.79,65.67,89.19
d,2221.16,2317.96,96.8,104.36
1,2446.29,2551.76,105.47,128.33
2,2663.86,2778.54,114.68,112.1
3,2814.9,2887.58,72.67,36.36
