key,press_time,release_time,dwell_time,flight_time
s,0.0,233.21,233.21,0.0
e,424.33,685.94,261.61,191.12
c,919.23,1061.04,141.81,233.29
u,1204.46,1411.98,207.52,143.42
r,1630.7,1878.62,247.92,218.71
e,1970.2,2213.7,243.5,91.58
p,2391.45,2706.03,314.58,177.75
a,2833.48,3050.88,217.4,127.44
s,3297.43,3511.29,213.86,246.55
s,3672.33,3860.36,188.03,161.03
w,4011.34,4169.7,158.36,150.98
o,4349.61,4563.75,214.14,179.91
r,4732.84,4965.04,232.2,169.09
d,5093.05,5262.14,169.09,128.01
1,5472.2,5605.78,133.58,210.06
2,5756.11,6042.09,285.98,150.33
3,6187.73,6405.04,217.31,145.64
