key,press_time,release_time,dwell_time,flight_time
s,0.0,101.66,101.66,0.0
e,274.26,428.94,154.68,172.6
c,516.43,611.14,94.71,87.49
u,710.18,809.72,99.53,99.05
r,943.08,1043.23,100.15,133.36
e,1170.3,1271.77,101.47,127.08
p,1350.84,1459.2,108.36,79.07
a,1592.05,1728.87,136.81,132.85
s,1859.83,1953.97,94.15,130.96
s,2108.34,2180.91,72.57,154.37
w,2326.24,2461.08,134.84,145.33
o,2565.37,2711.84,146.47,104.29
r,2809.94,2951.82,141.88,98.1
d,3025.39,3111.84,86.45,73.57
1,3239.66,3367.67,128.01,127.81
2,3523.12,3682.0,158.88,155.45
3,3853.43,4005.87,152.44,171.44
