key,press_time,release_time,dwell_time,flight_time
s,0.0,68.96,68.96,0.0
e,208.06,289.92,81.87,139.09
c,335.36,436.4,101.04,45.43
u,537.18,586.24,49.05,100.78
r,730.11,832.74,102.63,143.88
e,959.12,1040.32,81.2,126.38
p,1126.23,1246.67,120.44,85.91
a,1334.34,1429.8,95.47,87.67
s,1500.1,1583.78,83.68,70.3
s,1653.74,1768.28,114.54,69.96
w,1866.33,1960.11,93.78,98.05
o,2076.14,2158.26,82.12,116.03
r,2274.55,2354.17,79.61,116.29
d,2408.29,2449.86,41.57,54.13
1,2553.95,2689.96,136.01,104.09
2,2783.1,2865.77,82.66,93.15
3,2932.46,3004.48,72.02,66.69
