key,press_time,release_time,dwell_time,flight_time
s,0.0,80.04,80.04,0.0
e,197.18,285.11,87.92,117.14
c,409.88,499.83,89.95,124.78
u,582.23,646.82,64.6,82.4
r,800.62,878.06,77.44,153.79
e,959.54,1034.16,74.62,81.49
p,1096.95,1203.87,106.93,62.78
a,1308.23,1372.33,64.1,104.36
s,1548.75,1646.89,98.14,176.42
s,1732.6,1794.43,61.82,85.72
w,1901.82,2007.54,105.72,107.39
o,2102.05,2185.2,83.15,94.52
r,2265.18,2358.97,93.79,79.98
d,2482.34,2571.42,89.08,123.37
1,2663.85,2757.47,93.62,92.42
2,2799.7,2885.17,85.47,42.23
3,2964.54,3075.51,110.97,79.37
