key,press_time,release_time,dwell_time,flight_time
s,0.0,88.1,88.1,0.0
e,208.8,277.23,68.43,120.71
c,356.89,435.94,79.06,79.65
u,537.41,618.38,80.96,101.47
r,728.3,822.23,93.93,109.93
e,926.26,1029.57,103.31,104.03
p,1118.2,1202.73,84.53,88.63
a,1305.42,1372.74,67.32,102.69
s,1484.51,1541.79,57.28,111.78
s,1639.99,1706.59,66.6,98.2
w,1799.65,1886.44,86.8,93.05
o,1993.73,2096.21,102.48,107.29
r,2198.11,2281.91,83.8,101.91
d,2434.58,2568.26,133.68,152.67
1,2679.58,2761.73,82.15,111.32
2,2873.94,2984.72,110.78,112.21
3,3066.44,3147.57,81.13,81.73
