key,press_time,release_time,dwell_time,flight_time
s,0.0,44.66,44.66,0.0
e,137.12,216.79,79.66,92.46
c,289.63,391.72,102.09,72.84
u,466.59,533.67,67.07,74.87
r,632.39,720.61,88.22,98.72
e,809.02,920.49,111.48,88.41
p,1095.23,1191.55,96.32,174.74
a,1337.93,1426.07,88.14,146.38
s,1520.93,1616.94,96.01,94.85
s,1702.31,1765.58,63.27,85.37
w,1836.45,1917.79,81.34,70.86
o,2008.08,2080.03,71.94,90.29
r,2241.01,2309.5,68.49,160.98
d,2435.75,2531.05,95.3,126.25
1,2622.5,2713.39,90.89,91.45
2,2820.56,2878.4,57.83,107.18
3,2956.39,3073.48,117.09,77.99
