key,press_time,release_time,dwell_time,flight_time
s,0.0,120.46,120.46,0.0
e,245.99,337.74,91.75,125.53
c,514.87,592.91,78.04,177.13
u,731.06,826.46,95.39,138.15
r,946.44,1072.79,126.35,119.99
e,1167.18,1275.43,108.25,94.39
p,1412.32,1516.67,104.35,136.89
a,1662.59,1758.46,95.87,145.92
s,1902.55,2018.08,115.53,144.09
s,2189.59,2283.54,93.94,171.52
w,2419.17,2593.49,174.31,135.64
o,2696.54,2796.76,100.22,103.06
r,2931.44,3043.65,112.21,134.68
d,3186.9,3269.49,82.59,143.25
1,3361.78,3539.89,178.12,92.29
2,3654.52,3827.18,172.66,114.62
3,3926.17,4103.74,177.57,98.99
