key,press_time,release_time,dwell_time,flight_time
s,0.0,64.6,64.6,0.0
e,124.2,199.26,75.06,59.59
c,280.58,356.77,76.19,81.32
u,472.83,548.06,75.23,116.06
r,626.03,690.54,64.51,77.97
e,756.09,825.13,69.04,65.55
p,891.0,963.54,72.53,65.88
a,1030.76,1129.44,98.67,67.23
s,1199.72,1271.57,71.85,70.29
s,1332.91,1376.68,43.77,61.34
w,1458.7,1531.57,72.88,82.02
o,1597.07,1684.76,87.69,65.49
r,1752.68,1835.72,83.04,67.92
d,1907.93,1964.4,56.48,72.21
1,2039.29,2136.94,97.66,74.88
2,2212.29,2300.0,87.71,75.34
3,2369.96,2462.9,92.94,69.96
