key,press_time,release_time,dwell_time,flight_time
s,0.0,119.38,119.38,0.0
e,298.61,591.39,292.78,179.22
c,774.36,981.65,207.29,182.97
u,1071.9,1300.02,228.13,90.25
r,1538.91,1709.64,170.73,238.88
e,1900.04,2090.17,190.14,190.4
p,2269.49,2502.23,232.73,179.32
a,2722.25,2878.52,156.27,220.03
s,3046.97,3251.69,204.72,168.45
s,3403.49,3568.59,165.1,151.81
w,3780.82,3957.78,176.96,212.22
o,4221.85,4359.23,137.38,264.07
r,4572.22,4754.04,181.82,212.99
d,5002.96,5125.67,122.71,248.92
1,5316.24,5489.37,173.13,190.57
2,5698.98,5913.23,214.25,209.62
3,6046.1,6215.97,169.87,132.87
