key,press_time,release_time,dwell_time,flight_time
s,0.0,88.06,88.06,0.0
e,190.27,264.71,74.45,102.21
c,324.77,412.9,88.13,60.05
u,527.76,597.28,69.52,114.86
r,653.04,727.74,74.7,55.75
e,780.17,876.52,96.34,52.43
p,943.85,1016.99,73.14,67.33
a,1093.56,1181.16,87.61,76.57
s,1270.25,1337.36,67.11,89.09
s,1393.33,1446.27,52.94,55.97
w,1515.47,1606.71,91.24,69.2
o,1701.46,1780.73,79.27,94.74
r,1866.53,1927.61,61.09,85.8
d,1993.02,2068.46,75.44,65.41
1,2124.02,2222.69,98.68,55.55
2,2297.13,2380.09,82.96,74.43
3,2431.56,2541.72,110.16,51.47
