key,press_time,release_time,dwell_time,flight_time
s,0.0,104.67,104.67,0.0
e,213.69,335.6,121.92,109.02
c,506.56,661.64,155.07,170.96
u,756.58,887.72,131.14,94.94
r,1079.48,1198.51,119.03,191.76
e,1391.87,1547.69,155.82,193.36
p,1708.02,1892.56,184.54,160.34
a,2050.21,2167.42,117.21,157.65
s,2338.78,2479.17,140.39,171.37
s,2630.24,2726.13,95.88,151.07
w,2891.11,3022.64,131.53,164.98
o,3181.77,3324.35,142.58,159.13
r,3462.04,3633.38,171.33,137.69
d,3753.0,3859.58,106.58,119.62
1,3998.97,4146.8,147.84,139.39
2,4275.83,4441.28,165.45,129.03
3,4571.34,4731.46,160.12,130.06
