key,press_time,release_time,dwell_time,flight_time
s,0.0,67.11,67.11,0.0
e,191.21,335.01,143.8,124.1
c,423.33,552.38,129.05,88.32
u,705.53,850.6,145.07,153.15
r,1051.51,1179.34,127.83,200.92
e,1309.74,1423.39,113.65,130.4
p,1600.91,1745.13,144.21,177.52
a,1848.17,1998.43,150.26,103.04
s,2117.6,2190.39,72.79,119.18
s,2327.0,2426.51,99.51,136.6
w,2580.4,2698.5,118.11,153.89
o,2858.78,2965.01,106.23,160.27
r,3093.64,3217.52,123.88,128.63
d,3339.11,3422.07,82.96,121.59
1,3552.36,3696.57,144.21,130.29
2,3831.23,4041.92,210.7,134.66
3,4186.64,4287.36,100.72,144.72
