key,press_time,release_time,dwell_time,flight_time
s,0.0,189.15,189.15,0.0
e,311.35,527.33,215.98,122.2
c,681.31,915.01,233.7,153.98
u,1099.36,1310.79,211.43,184.35
r,1452.03,1656.99,204.96,141.24
e,1790.97,1952.07,161.11,133.97
p,2161.32,2390.18,228.86,209.24
a,2619.57,2808.39,188.82,229.39
s,2967.69,3151.59,183.9,159.3
s,3339.71,3497.26,157.55,188.12
w,3631.41,3824.76,193.35,134.15
o,4064.06,4192.7,128.64,239.3
r,4350.05,4541.93,191.88,157.36
d,4726.25,4969.89,243.64,184.32
1,5227.35,5462.52,235.18,257.46
2,5605.44,5844.87,239.43,142.92
3,6028.34,6220.65,192.3,183.47
