key,press_time,release_time,dwell_time,flight_time
s,0.0,82.29,82.29,0.0
e,148.4,217.33,68.93,66.11
c,319.4,407.71,88.31,102.07
u,514.47,616.46,101.99,106.76
r,673.8,757.32,83.52,57.34
e,834.78,890.36,55.58,77.47
p,986.47,1061.9,75.43,96.11
a,1167.25,1244.39,77.15,105.35
s,1333.17,1392.52,59.35,88.78
s,1460.23,1547.9,87.67,67.71
w,1627.71,1714.2,86.49,79.82
o,1842.09,1899.55,57.46,127.89
r,2010.22,2050.81,40.59,110.67
d,2169.21,2234.43,65.23,118.39
1,2373.72,2436.09,62.38,139.28
2,2572.51,2673.25,100.74,136.42
3,2738.76,2880.66,141.9,65.51
