key,press_time,release_time,dwell_time,flight_time
s,0.0,139.84,139.84,0.0
e,284.83,400.59,115.75,144.99
c,551.28,689.91,138.63,150.69
u,808.11,958.97,150.86,118.2
r,1192.57,1319.79,127.22,233.6
e,1480.32,1634.08,153.76,160.53
p,1799.23,1943.28,144.05,165.15
a,2075.27,2225.14,149.87,131.99
s,2378.7,2472.2,93.5,153.56
s,2647.4,2757.67,110.27,175.2
w,2883.51,3062.76,179.26,125.84
o,3237.0,3388.67,151.66,174.24
r,3559.9,3695.61,135.71,171.23
d,3768.56,3922.33,153.77,72.95
1,4088.09,4269.79,181.7,165.76
2,4481.5,4617.34,135.84,211.72
3,4783.04,5006.11,223.06,165.7
