key,press_time,release_time,dwell_time,flight_time
s,0.0,83.34,83.34,0.0
e,191.88,267.97,76.09,108.54
c,367.58,457.48,89.9,99.61
u,559.8,673.41,113.61,102.33
r,753.21,845.49,92.28,79.79
e,917.64,970.35,52.71,72.15
p,1056.77,1174.3,117.53,86.42
a,1293.4,1392.46,99.06,119.1
s,1558.61,1645.62,87.01,166.15
s,1754.11,1857.25,103.14,108.49
w,1953.54,2047.46,93.91,96.29
o,2176.37,2266.52,90.15,128.91
r,2369.44,2442.29,72.84,102.92
d,2517.95,2607.08,89.13,75.66
1,2680.77,2782.47,101.7,73.69
2,2896.22,2993.36,97.14,113.76
3,3147.18,3256.02,108.85,153.82
