key,press_time,release_time,dwell_time,flight_time
s,0.0,115.98,115.98,0.0
e,194.31,370.3,175.99,78.32
c,495.85,671.14,175.28,125.56
u,774.91,918.12,143.21,103.78
r,1115.85,1324.58,208.73,197.74
e,1433.64,1595.54,161.9,109.05
p,1708.14,1939.08,230.94,112.6
a,2069.27,2212.58,143.3,130.2
s,2294.57,2367.96,73.39,81.99
s,2534.01,2713.44,179.42,166.05
w,2749.79,2950.0,200.21,36.35
o,3050.93,3255.29,204.36,100.93
r,3441.16,3675.03,233.88,185.87
d,3749.33,3881.05,131.72,74.3
1,3960.82,4166.94,206.12,79.77
2,4284.28,4488.57,204.29,117.34
3,4597.56,4755.43,157.87,108.99
