key,press_time,release_time,dwell_time,flight_time
s,0.0,58.31,58.31,0.0
e,153.63,217.18,63.55,95.32
c,306.21,369.01,62.8,89.02
u,455.62,506.86,51.24,86.61
r,607.44,647.44,40.0,100.58
e,739.56,812.54,72.98,92.12
p,876.6,946.29,69.69,64.06
a,1019.93,1088.96,69.04,73.64
s,1174.33,1227.69,53.36,85.37
s,1356.91,1435.05,78.14,129.22
w,1520.32,1585.29,64.96,85.27
o,1675.73,1740.99,65.26,90.44
r,1831.0,1909.63,78.63,90.01
d,2006.47,2086.19,79.72,96.85
1,2173.57,2255.92,82.35,87.39
2,2333.32,2408.49,75.17,77.39
3,2474.51,2550.61,76.1,66.02
