key,press_time,release_time,dwell_time,flight_time
s,0.0,114.12,114.12,0.0
e,271.83,390.43,118.6,157.71
c,529.74,655.13,125.4,139.31
u,747.8,887.11,139.3,92.67
r,1067.73,1217.81,150.08,180.63
e,1372.54,1497.91,125.37,154.72
p,1648.27,1739.31,91.04,150.36
a,1918.71,2030.24,111.53,179.4
s,2186.87,2264.51,77.63,156.63
s,2421.85,2532.49,110.64,157.34
w,2676.58,2772.92,96.33,144.09
o,2929.17,3008.16,78.99,156.26
r,3133.83,3227.38,93.55,125.67
d,3370.97,3490.61,119.64,143.59
1,3585.79,3714.14,128.35,95.18
2,3801.14,3931.11,129.97,87.0
3,4038.43,4161.96,123.53,107.32
