key,press_time,release_time,dwell_time,flight_time
s,0.0,75.47,75.47,0.0
e,208.09,349.92,141.83,132.62
c,481.66,590.75,109.08,131.75
u,732.45,879.88,147.42,141.7
r,1030.86,1139.45,108.59,150.99
e,1295.27,1439.37,144.11,155.82
p,1522.1,1665.28,143.18,82.73
a,1807.5,1905.49,97.99,142.22
s,2019.31,2122.05,102.73,113.82
s,2180.31,2270.32,90.0,58.27
w,2426.21,2551.31,125.1,155.89
o,2682.11,2786.37,104.25,130.81
r,2949.06,3015.76,66.7,162.7
d,3148.22,3249.93,101.71,132.46
1,3385.44,3496.38,110.94,135.51
2,3644.51,3825.2,180.69,148.13
3,3966.15,4104.91,138.76,140.95
