key,press_time,release_time,dwell_time,flight_time
s,0.0,89.78,89.78,0.0
e,180.12,278.29,98.16,90.34
c,386.62,459.3,72.68,108.34
u,586.83,662.65,75.82,127.53
r,743.78,836.79,93.01,81.12
e,892.44,982.53,90.09,55.65
p,1106.99,1181.47,74.48,124.46
a,1285.11,1388.97,103.86,103.64
s,1449.37,1536.72,87.35,60.4
s,1591.74,1677.39,85.65,55.02
w,1815.27,1888.45,73.18,137.88
o,2001.93,2090.58,88.66,113.48
r,2173.76,2242.19,68.43,83.18
d,2283.37,2350.16,66.79,41.18
1,2464.74,2556.63,91.89,114.58
2,2669.18,2768.24,99.06,112.56
3,2869.58,2976.96,107.37,101.35
