key,press_time,release_time,dwell_time,flight_time
s,0.0,83.44,83.44,0.0
e,197.34,289.65,92.31,113.9
c,366.82,442.73,75.91,77.17
u,542.46,637.06,94.6,99.74
r,719.99,802.43,82.45,82.92
e,866.96,954.3,87.35,64.52
p,1052.59,1141.81,89.22,98.29
a,1242.18,1346.24,104.06,100.38
s,1442.93,1542.18,99.25,96.69
s,1660.08,1746.73,86.65,117.9
w,1832.68,1938.72,106.03,85.95
o,2043.57,2128.1,84.53,104.85
r,2256.58,2339.23,82.66,128.48
d,2418.47,2494.24,75.77,79.23
1,2593.08,2699.48,106.41,98.84
2,2792.17,2881.15,88.98,92.69
3,2999.64,3089.68,90.04,118.49
