key,press_time,release_time,dwell_time,flight_time
s,0.0,127.28,127.28,0.0
e,336.03,429.04,93.01,208.75
c,538.12,647.99,109.87,109.08
u,770.25,895.18,124.92,122.26
r,1082.08,1185.73,103.65,186.9
e,1295.48,1410.07,114.59,109.75
p,1531.51,1654.36,122.85,121.44
a,1785.13,1888.11,102.98,130.77
s,2013.67,2099.15,85.48,125.56
s,2211.39,2303.81,92.43,112.24
w,2442.1,2514.8,72.7,138.28
o,2662.0,2795.06,133.06,147.21
r,2949.64,3035.21,85.57,154.58
d,3207.69,3288.43,80.74,172.49
1,3416.59,3555.24,138.65,128.16
2,3677.92,3827.38,149.45,122.69
3,3943.95,4071.29,127.35,116.57
