key,press_time,release_time,dwell_time,flight_time
s,0.0,56.37,56.37,0.0
e,165.45,251.78,86.32,109.08
c,323.18,402.25,79.07,71.4
u,502.7,591.08,88.37,100.45
r,697.23,792.96,95.73,106.16
e,850.7,952.34,101.64,57.74
p,1068.61,1158.47,89.86,116.26
a,1249.7,1320.77,71.06,91.24
s,1416.76,1509.75,92.99,95.99
s,1643.85,1702.32,58.47,134.1
w,1813.29,1868.46,55.17,110.97
o,1989.15,2073.63,84.48,120.69
r,2181.88,2238.38,56.5,108.25
d,2331.26,2382.48,51.22,92.88
1,2512.9,2600.78,87.88,130.42
2,2666.95,2772.54,105.59,66.16
3,2872.64,2969.38,96.74,100.1
