key,press_time,release_time,dwell_time,flight_time
s,0.0,143.37,143.37,0.0
e,311.83,537.09,225.26,168.46
c,675.58,854.8,179.22,138.5
u,1097.99,1274.21,176.22,243.19
r,1482.69,1614.89,132.21,208.48
e,1789.92,1912.5,122.58,175.03
p,2081.16,2285.88,204.72,168.67
a,2369.2,2574.43,205.24,83.32
s,2691.18,2866.47,175.29,116.74
s,3040.59,3232.37,191.78,174.12
w,3325.12,3516.24,191.12,92.75
o,3682.73,3851.14,168.4,166.49
r,3932.85,4146.3,213.45,81.71
d,4244.4,4362.21,117.82,98.1
1,4556.88,4784.36,227.48,194.67
2,4918.54,5099.61,181.06,134.19
3,5211.01,5423.01,212.0,111.41
