key,press_time,release_time,dwell_time,flight_time
s,0.0,89.47,89.47,0.0
e,189.87,294.69,104.82,100.4
c,449.54,539.97,90.43,154.85
u,641.49,730.91,89.42,101.53
r,810.86,913.56,102.71,79.94
e,1042.68,1119.35,76.67,129.11
p,1231.66,1302.84,71.18,112.31
a,1409.38,1520.22,110.83,106.54
s,1609.94,1696.4,86.46,89.72
s,1787.65,1827.65,40.0,91.25
w,1961.09,2045.49,84.4,133.44
o,2142.6,2229.66,87.06,97.11
r,2342.39,2434.27,91.88,112.74
d,2617.96,2707.88,89.92,183.68
1,2865.55,2999.29,133.74,157.67
2,3117.96,3240.75,122.79,118.67
3,3318.06,3414.11,96.05,77.3
