key,press_time,release_time,dwell_time,flight_time
s,0.0,93.25,93.25,0.0
e,266.24,455.46,189.22,172.98
c,638.07,777.02,138.95,182.61
u,922.08,984.75,62.67,145.05
r,1086.58,1247.54,160.96,101.83
e,1436.6,1498.21,61.61,189.06
p,1603.79,1728.47,124.68,105.58
a,1895.22,1986.25,91.03,166.75
s,2096.57,2165.97,69.4,110.32
s,2344.06,2394.8,50.74,178.08
w,2499.46,2651.57,152.11,104.67
o,2769.36,2879.13,109.77,117.79
r,2976.13,3123.83,147.69,97.0
d,3233.06,3332.8,99.74,109.23
1,3464.19,3583.88,119.69,131.38
2,3725.53,3905.17,179.63,141.65
3,4066.4,4216.91,150.51,161.23
