key,press_time,release_time,dwell_time,flight_time
s,0.0,90.95,90.95,0.0
e,203.25,292.35,89.1,112.31
c,332.17,420.89,88.73,39.82
u,505.57,557.51,51.94,84.68
r,643.49,702.98,59.49,85.98
e,775.08,844.53,69.45,72.1
p,939.95,1021.74,81.79,95.41
a,1081.34,1173.17,91.83,59.6
s,1262.63,1344.28,81.66,89.46
s,1445.31,1526.81,81.51,101.02
w,1604.79,1655.75,50.96,77.97
o,1753.9,1816.52,62.62,98.16
r,1891.32,1967.39,76.06,74.8
d,2072.25,2145.62,73.37,104.87
1,2249.2,2343.34,94.14,103.57
2,2429.24,2531.23,101.99,85.9
3,2596.43,2668.5,72.06,65.21
