key,press_time,release_time,dwell_time,flight_time
s,0.0,62.8,62.8,0.0
e,151.92,219.65,67.72,89.13
c,324.22,392.86,68.64,104.57
u,500.8,575.68,74.88,107.94
r,659.85,721.57,61.72,84.18
e,801.59,865.06,63.47,80.02
p,938.78,1037.7,98.92,73.72
a,1128.77,1189.85,61.08,91.07
s,1287.14,1349.26,62.12,97.29
s,1427.46,1496.87,69.41,78.2
w,1604.51,1676.94,72.43,107.65
o,1773.94,1866.7,92.77,97.0
r,1958.75,2045.35,86.61,92.04
d,2094.79,2168.01,73.21,49.44
1,2240.01,2335.25,95.25,72.0
2,2404.28,2506.64,102.36,69.03
3,2600.52,2690.39,89.87,93.88
