key,press_time,release_time,dwell_time,flight_time
s,0.0,77.25,77.25,0.0
e,146.5,254.78,108.29,69.25
c,406.72,464.69,57.97,151.93
u,581.06,627.57,46.51,116.37
r,781.6,860.37,78.77,154.03
e,1003.77,1083.95,80.19,143.39
p,1139.92,1221.49,81.57,55.97
a,1355.56,1451.11,95.55,134.07
s,1574.32,1633.6,59.29,123.2
s,1732.12,1812.04,79.92,98.52
w,1894.9,1975.48,80.59,82.86
o,2037.31,2144.82,107.52,61.83
r,2246.05,2326.14,80.09,101.22
d,2416.07,2506.37,90.3,89.93
1,2601.23,2680.05,78.82,94.86
2,2795.17,2893.44,98.27,115.12
3,3007.32,3102.84,95.51,113.89
