key,press_time,release_time,dwell_time,flight_time
s,0.0,84.07,84.07,0.0
e,169.23,274.21,104.97,85.17
c,388.03,468.49,80.45,113.82
u,558.29,666.95,108.67,89.8
r,754.97,828.51,73.54,88.01
e,911.38,984.54,73.17,82.87
p,1149.48,1252.58,103.1,164.93
a,1349.6,1442.86,93.27,97.02
s,1523.2,1615.17,91.96,80.34
s,1708.02,1795.51,87.49,92.85
w,1924.5,2000.46,75.95,128.99
o,2114.79,2207.85,93.06,114.34
r,2278.29,2388.3,110.0,70.44
d,2507.6,2560.36,52.75,119.31
1,2645.08,2752.87,107.79,84.73
2,2841.98,2947.61,105.63,89.11
3,3032.55,3157.94,125.39,84.93
